a	ˈa
antagonista	ˌɐ̃ŋtɐɡunˈiʃtɐ
antagonistas	ˌɐ̃ŋtɐɡunˈiʃtɐʃ
antagonizar	ˌɐ̃ŋtɐɡˌunizˈaɹ
antagonizará	ˌɐ̃ŋtɐɡˌunizɐɾˈa
antagonizá	ˌɐ̃ŋtɐɡˌunizˈa
antagonizou	ˌɐ̃ŋtɐɡˌunizˈow
antagonizarás	ˌɐ̃ŋtɐɡˌunizɐɾˈaʃ
antagonizámos	ˌɐ̃ŋtɐɡˌunizˈamʊʃ
antagonizássemos	ˌɐ̃ŋtɐɡˌunizˈasɨmʊʃ
antagonizaremos	ˌɐ̃ŋtɐɡˌunizɐɾˈemʊʃ
antagonizemos	ˌɐ̃ŋtɐɡˌunizˈemʊʃ
antagonizaríamos	ˌɐ̃ŋtɐɡˌunizɐɾˈiɐ̃mʊʃ
antagonizávamos	ˌɐ̃ŋtɐɡˌunizˈavɐmʊʃ
antagonizáramos	ˌɐ̃ŋtɐɡˌunizˈaɾɐmʊʃ
antagonizarmos	ˌɐ̃ŋtɐɡˌunizˈaɾəmʊʃ
antagonizamos	ˌɐ̃ŋtɐɡˌunizˈɐ̃mʊʃ
antagonizados	ˌɐ̃ŋtɐɡˌunizˈadʊʃ
antagonizaríeis	ˌɐ̃ŋtɐɡˌunizɐɾˈieɪʃ
antagonizáveis	ˌɐ̃ŋtɐɡˌunizˈaveɪʃ
antagonizásseis	ˌɐ̃ŋtɐɡˌunizˈaseɪʃ
antagonizáreis	ˌɐ̃ŋtɐɡˌunizˈaɾeɪʃ
antagonizareis	ˌɐ̃ŋtɐɡˌunizɐɾˈeɪʃ
antagonizeis	ˌɐ̃ŋtɐɡˌunizˈeɪʃ
antagonizais	ˌɐ̃ŋtɐɡˌunizˈaɪʃ
antagonizastes	ˌɐ̃ŋtɐɡˌunizˈaʃtɨʃ
antagonizasses	ˌɐ̃ŋtɐɡˌunizˈasɨʃ
antagonizardes	ˌɐ̃ŋtɐɡˌunizˈaɾədɨʃ
antagonizares	ˌɐ̃ŋtɐɡˌunizˈaɾɨʃ
antagonizes	ˌɐ̃ŋtɐɡunˈizɨʃ
antagonizavas	ˌɐ̃ŋtɐɡˌunizˈavɐʃ
antagonizarias	ˌɐ̃ŋtɐɡˌunizɐɾˈiɐʃ
antagonizadas	ˌɐ̃ŋtɐɡˌunizˈadɐʃ
antagonizaras	ˌɐ̃ŋtɐɡˌunizˈaɾɐʃ
antagonizas	ˌɐ̃ŋtɐɡunˈizɐʃ
antagonizarão	ˌɐ̃ŋtɐɡˌunizɐɾˈɐ̃ʊ̃
antagonizando	ˌɐ̃ŋtɐɡˌunizˈɐ̃ŋdʊ
antagonizado	ˌɐ̃ŋtɐɡˌunizˈadʊ
antagonizo	ˌɐ̃ŋtɐɡunˈizʊ
antagonizassem	ˌɐ̃ŋtɐɡˌunizˈaseɪŋ
antagonizarem	ˌɐ̃ŋtɐɡˌunizˈaɾeɪŋ
antagonizem	ˌɐ̃ŋtɐɡunˈizeɪŋ
antagonizavam	ˌɐ̃ŋtɐɡˌunizˈavɐ̃ʊ̃
antagonizariam	ˌɐ̃ŋtɐɡˌunizɐɾˈiɐ̃ʊ̃
antagonizaram	ˌɐ̃ŋtɐɡˌunizˈaɾɐ̃ʊ̃
antagonizam	ˌɐ̃ŋtɐɡunˈizɐ̃ʊ̃
antagonizarei	ˌɐ̃ŋtɐɡˌunizɐɾˈeɪ
antagonizei	ˌɐ̃ŋtɐɡˌunizˈeɪ
antagonizai	ˌɐ̃ŋtɐɡˌunizˈaɪ
antagonizaste	ˌɐ̃ŋtɐɡˌunizˈaʃtɨ
antagonizasse	ˌɐ̃ŋtɐɡˌunizˈasɨ
antagonize	ˌɐ̃ŋtɐɡunˈizɨ
antagonizava	ˌɐ̃ŋtɐɡˌunizˈavɐ
antagonizaria	ˌɐ̃ŋtɐɡˌunizɐɾˈiɐ
antagonizada	ˌɐ̃ŋtɐɡˌunizˈadɐ
antagonizara	ˌɐ̃ŋtɐɡˌunizˈaɾɐ
antagoniza	ˌɐ̃ŋtɐɡunˈizɐ
antanho	ˌɐ̃ŋtˈɐ̃ɲʊ
Antão	ɐ̃ŋtˈɐ̃ʊ̃
antártico	ˌɐ̃ŋtˈaɾətikʊ
antárticas	ˌɐ̃ŋtˈaɾətikɐʃ
antárticos	ˌɐ̃ŋtˈaɾətikʊʃ
antártica	ˌɐ̃ŋtˈaɾətikɐ
Antártida	ˌɐ̃ŋtˈaɾətidɐ
Antas	ˈɐ̃ŋtɐʃ
ante	ˈɐ̃ŋtɨ
anteato	ˌɐ̃ŋtiˈatʊ
anteboca	ˌɐ̃ŋtɨbˈɔkɐ
antebraço	ˌɐ̃ŋtɨbɹˈasʊ
antebraços	ˌɐ̃ŋtɨbɹˈasʊʃ
antecâmara	ˌɐ̃ŋtɨkˈɐ̃mɐɾɐ
antecâmbrico	ˌɐ̃ŋtɨkˈɐ̃mbɹikʊ
antecâmbricas	ˌɐ̃ŋtɨkˈɐ̃mbɹikɐʃ
antecâmbrica	ˌɐ̃ŋtɨkˈɐ̃mbɹikɐ
antecedência	ˌɐ̃ŋtɨsɨdˈeɪŋsjɐ
antecedências	ˌɐ̃ŋtɨsɨdˈeɪŋsiɐʃ
antecedente	ˌɐ̃ŋtɨsɨdˈeɪŋtɨ
anteceder	ˌɐ̃ŋtɨsɨdˈeɹ
antecedê	ˌɐ̃ŋtɨsɨdˈe
antecederá	ˌɐ̃ŋtɨsˌedɨɾˈa
antecedeu	ˌɐ̃ŋtɨsɨdˈeʊ
antecederás	ˌɐ̃ŋtɨsˌedɨɾˈaʃ
antecedêssemos	ˌɐ̃ŋtɨsɨdˈesɨmʊʃ
antecederemos	ˌɐ̃ŋtɨsˌedɨɾˈemʊʃ
antecederíamos	ˌɐ̃ŋtɨsˌedɨɾˈiɐ̃mʊʃ
antecedíamos	ˌɐ̃ŋtɨsɨdˈiɐ̃mʊʃ
antecedêramos	ˌɐ̃ŋtɨsɨdˈeɾɐmʊʃ
antecedamos	ˌɐ̃ŋtɨsɨdˈɐ̃mʊʃ
antecedermos	ˌɐ̃ŋtɨsɨdˈeɾəmʊʃ
antecedemos	ˌɐ̃ŋtɨsɨdˈemʊʃ
antecedidos	ˌɐ̃ŋtɨsɨdˈidʊʃ
antecederíeis	ˌɐ̃ŋtɨsˌedɨɾˈieɪʃ
antecedíeis	ˌɐ̃ŋtɨsɨdˈieɪʃ
antecedêsseis	ˌɐ̃ŋtɨsɨdˈeseɪʃ
antecedêreis	ˌɐ̃ŋtɨsɨdˈeɾeɪʃ
antecedereis	ˌɐ̃ŋtɨsˌedɨɾˈeɪʃ
antecedais	ˌɐ̃ŋtɨsɨdˈaɪʃ
antecedeis	ˌɐ̃ŋtɨsɨdˈeɪʃ
antecedestes	ˌɐ̃ŋtɨsɨdˈeʃtɨʃ
antecedentes	ˌɐ̃ŋtɨsɨdˈeɪŋtɨʃ
antecedesses	ˌɐ̃ŋtɨsɨdˈesɨʃ
antecederdes	ˌɐ̃ŋtɨsɨdˈeɾədɨʃ
antecederes	ˌɐ̃ŋtɨsɨdˈeɾɨʃ
antecederias	ˌɐ̃ŋtɨsˌedɨɾˈiɐʃ
antecedias	ˌɐ̃ŋtɨsɨdˈiɐʃ
antecedidas	ˌɐ̃ŋtɨsɨdˈidɐʃ
antecederas	ˌɐ̃ŋtɨsɨdˈeɾɐʃ
antecedas	ˌɐ̃ŋtɨsˈedɐʃ
antecedes	ˌɐ̃ŋtɨsˈedɨʃ
antecederão	ˌɐ̃ŋtɨsˌedɨɾˈɐ̃ʊ̃
antecedendo	ˌɐ̃ŋtɨsɨdˈeɪŋdʊ
antecedido	ˌɐ̃ŋtɨsɨdˈidʊ
antecedo	ˌɐ̃ŋtɨsˈedʊ
antecedessem	ˌɐ̃ŋtɨsɨdˈeseɪŋ
antecederem	ˌɐ̃ŋtɨsɨdˈeɾeɪŋ
antecederiam	ˌɐ̃ŋtɨsˌedɨɾˈiɐ̃ʊ̃
antecediam	ˌɐ̃ŋtɨsɨdˈiɐ̃ʊ̃
antecederam	ˌɐ̃ŋtɨsɨdˈeɾɐ̃ʊ̃
antecedam	ˌɐ̃ŋtɨsˈedɐ̃ʊ̃
antecedem	ˌɐ̃ŋtɨsˈɛdeɪŋ
antecederei	ˌɐ̃ŋtɨsˌedɨɾˈeɪ
antecedi	ˌɐ̃ŋtɨsɨdˈi
antecedei	ˌɐ̃ŋtɨsɨdˈeɪ
antecedeste	ˌɐ̃ŋtɨsɨdˈeʃtɨ
antecedente	ˌɐ̃ŋtɨsɨdˈeɪŋtɨ
antecedesse	ˌɐ̃ŋtɨsɨdˈesɨ
antecede	ˌɐ̃ŋtɨsˈɛdɨ
antecederia	ˌɐ̃ŋtɨsˌedɨɾˈiɐ
antecedia	ˌɐ̃ŋtɨsɨdˈiɐ
antecedida	ˌɐ̃ŋtɨsɨdˈidɐ
antecedera	ˌɐ̃ŋtɨsɨdˈeɾɐ
anteceda	ˌɐ̃ŋtɨsˈedɐ
antecessor	ˌɐ̃ŋtɨsɨsˈoɹ
antecessores	ˌɐ̃ŋtɨsɨsˈoɾɨʃ
antecessoras	ˌɐ̃ŋtɨsɨsˈoɾɐʃ
antecessora	ˌɐ̃ŋtɨsɨsˈoɾɐ
antecipação	ˌɐ̃ŋtɨsˌipɐsˈɐ̃ʊ̃
antecipadamente	ˌɐ̃ŋtɨsˌipɐdɐmˈeɪŋtɨ
antecipador	ˌɐ̃ŋtɨsˌipɐdˈoɹ
antecipadores	ˌɐ̃ŋtɨsˌipɐdˈoɾɨʃ
antecipadoras	ˌɐ̃ŋtɨsˌipɐdˈoɾɐʃ
antecipadora	ˌɐ̃ŋtɨsˌipɐdˈoɾɐ
antecipar	ˌɐ̃ŋtɨsipˈaɹ
antecipará	ˌɐ̃ŋtɨsˌipɐɾˈa
antecipá	ˌɐ̃ŋtɨsipˈa
antecipou	ˌɐ̃ŋtɨsipˈow
anteciparás	ˌɐ̃ŋtɨsˌipɐɾˈaʃ
antecipámos	ˌɐ̃ŋtɨsipˈamʊʃ
antecipássemos	ˌɐ̃ŋtɨsipˈasɨmʊʃ
anteciparemos	ˌɐ̃ŋtɨsˌipɐɾˈemʊʃ
antecipemos	ˌɐ̃ŋtɨsipˈemʊʃ
anteciparíamos	ˌɐ̃ŋtɨsˌipɐɾˈiɐ̃mʊʃ
antecipávamos	ˌɐ̃ŋtɨsipˈavɐmʊʃ
antecipáramos	ˌɐ̃ŋtɨsipˈaɾɐmʊʃ
anteciparmos	ˌɐ̃ŋtɨsipˈaɾəmʊʃ
antecipamos	ˌɐ̃ŋtɨsipˈɐ̃mʊʃ
antecipados	ˌɐ̃ŋtɨsipˈadʊʃ
anteciparíeis	ˌɐ̃ŋtɨsˌipɐɾˈieɪʃ
antecipáveis	ˌɐ̃ŋtɨsipˈaveɪʃ
antecipásseis	ˌɐ̃ŋtɨsipˈaseɪʃ
antecipáreis	ˌɐ̃ŋtɨsipˈaɾeɪʃ
antecipareis	ˌɐ̃ŋtɨsˌipɐɾˈeɪʃ
antecipeis	ˌɐ̃ŋtɨsipˈeɪʃ
antecipais	ˌɐ̃ŋtɨsipˈaɪʃ
antecipações	ˌɐ̃ŋtɨsˌipɐsˈõjʃ
antecipastes	ˌɐ̃ŋtɨsipˈaʃtɨʃ
antecipasses	ˌɐ̃ŋtɨsipˈasɨʃ
antecipardes	ˌɐ̃ŋtɨsipˈaɾədɨʃ
antecipares	ˌɐ̃ŋtɨsipˈaɾɨʃ
antecipes	ˌɐ̃ŋtɨsˈipɨʃ
antecipavas	ˌɐ̃ŋtɨsipˈavɐʃ
anteciparias	ˌɐ̃ŋtɨsˌipɐɾˈiɐʃ
antecipadas	ˌɐ̃ŋtɨsipˈadɐʃ
anteciparas	ˌɐ̃ŋtɨsipˈaɾɐʃ
antecipas	ˌɐ̃ŋtɨsˈipɐʃ
antecipação	ˌɐ̃ŋtɨsˌipɐsˈɐ̃ʊ̃
anteciparão	ˌɐ̃ŋtɨsˌipɐɾˈɐ̃ʊ̃
antecipando	ˌɐ̃ŋtɨsipˈɐ̃ŋdʊ
antecipado	ˌɐ̃ŋtɨsipˈadʊ
antecipo	ˌɐ̃ŋtɨsˈipʊ
antecipassem	ˌɐ̃ŋtɨsipˈaseɪŋ
anteciparem	ˌɐ̃ŋtɨsipˈaɾeɪŋ
antecipem	ˌɐ̃ŋtɨsˈipeɪŋ
antecipavam	ˌɐ̃ŋtɨsipˈavɐ̃ʊ̃
antecipariam	ˌɐ̃ŋtɨsˌipɐɾˈiɐ̃ʊ̃
anteciparam	ˌɐ̃ŋtɨsipˈaɾɐ̃ʊ̃
antecipam	ˌɐ̃ŋtɨsˈipɐ̃ʊ̃
antecipável	ˌɐ̃ŋtɨsipˈavˌɛl
anteciparei	ˌɐ̃ŋtɨsˌipɐɾˈeɪ
antecipei	ˌɐ̃ŋtɨsipˈeɪ
antecipai	ˌɐ̃ŋtɨsipˈaɪ
antecipaste	ˌɐ̃ŋtɨsipˈaʃtɨ
antecipasse	ˌɐ̃ŋtɨsipˈasɨ
antecipe	ˌɐ̃ŋtɨsˈipɨ
antecipava	ˌɐ̃ŋtɨsipˈavɐ
anteciparia	ˌɐ̃ŋtɨsˌipɐɾˈiɐ
antecipada	ˌɐ̃ŋtɨsipˈadɐ
antecipara	ˌɐ̃ŋtɨsipˈaɾɐ
antecipa	ˌɐ̃ŋtɨsˈipɐ
anteclássico	ɐ̃ŋtˌɛklˈasikʊ
antecoluna	ˌɐ̃ŋtɨkulˈunɐ
antecolunas	ˌɐ̃ŋtɨkulˈunɐʃ
anteconhecimento	ˌɐ̃ŋtɨkˌuɲɨsimˈeɪŋtʊ
antecoro	ˌɐ̃ŋtɨkˈɔɾʊ
antecoros	ˌɐ̃ŋtɨkˈoɾʊʃ
antedá	ˌɐ̃ŋtɨdˈa
antedada	ˌɐ̃ŋtɨdˈadɐ
antedadas	ˌɐ̃ŋtɨdˈadɐʃ
antedado	ˌɐ̃ŋtɨdˈadʊ
antedados	ˌɐ̃ŋtɨdˈadʊʃ
antedai	ˌɐ̃ŋtɨdˈaɪ
antedais	ˌɐ̃ŋtɨdˈaɪʃ
antedamos	ˌɐ̃ŋtɨdˈɐ̃mʊʃ
antedando	ˌɐ̃ŋtɨdˈɐ̃ŋdʊ
antedão	ˌɐ̃ŋtɨdˈɐ̃ʊ̃
antedará	ˌɐ̃ŋtɨdɐɾˈa
antedarão	ˌɐ̃ŋtɨdɐɾˈɐ̃ʊ̃
antedarás	ˌɐ̃ŋtɨdɐɾˈaʃ
antedardes	ˌɐ̃ŋtɨdˈaɾədɨʃ
antedarei	ˌɐ̃ŋtɨdɐɾˈeɪ
antedareis	ˌɐ̃ŋtɨdɐɾˈeɪʃ
antedarem	ˌɐ̃ŋtɨdˈaɾeɪŋ
antedaremos	ˌɐ̃ŋtɨdɐɾˈemʊʃ
antedares	ˌɐ̃ŋtɨdˈaɾɨʃ
antedaria	ˌɐ̃ŋtɨdɐɾˈiɐ
antedariam	ˌɐ̃ŋtɨdɐɾˈiɐ̃ʊ̃
antedaríamos	ˌɐ̃ŋtɨdɐɾˈiɐ̃mʊʃ
antedarias	ˌɐ̃ŋtɨdɐɾˈiɐʃ
antedaríeis	ˌɐ̃ŋtɨdɐɾˈieɪʃ
antedarmos	ˌɐ̃ŋtɨdˈaɾəmʊʃ
antedás	ˌɐ̃ŋtɨdˈaʃ
antedava	ˌɐ̃ŋtɨdˈavɐ
antedavam	ˌɐ̃ŋtɨdˈavɐ̃ʊ̃
antedávamos	ˌɐ̃ŋtɨdˈavɐmʊʃ
antedavas	ˌɐ̃ŋtɨdˈavɐʃ
antedáveis	ˌɐ̃ŋtɨdˈaveɪʃ
antedê	ˌɐ̃ŋtɨdˈe
antedeem	ˌɐ̃ŋtɨdˈieɪŋ
antedei	ˌɐ̃ŋtɨdˈeɪ
antedeis	ˌɐ̃ŋtɨdˈeɪʃ
antedemos	ˌɐ̃ŋtɨdˈemʊʃ
antedêmos	ˌɐ̃ŋtɨdˈemʊʃ
anteder	ˌɐ̃ŋtɨdˈeɹ
antedera	ˌɐ̃ŋtɨdˈeɾɐ
antederam	ˌɐ̃ŋtɨdˈeɾɐ̃ʊ̃
antedéramos	ˌɐ̃ŋtɨdˈɛɾɐmʊʃ
antederas	ˌɐ̃ŋtɨdˈeɾɐʃ
antederdes	ˌɐ̃ŋtɨdˈeɾədɨʃ
antedéreis	ˌɐ̃ŋtɨdˈɛɾeɪʃ
antederem	ˌɐ̃ŋtɨdˈeɾeɪŋ
antederes	ˌɐ̃ŋtɨdˈeɾɨʃ
antedermos	ˌɐ̃ŋtɨdˈeɾəmʊʃ
antedês	ˌɐ̃ŋtɨdˈeʃ
antedesse	ˌɐ̃ŋtɨdˈɛsɨ
antedésseis	ˌɐ̃ŋtɨdˈɛseɪʃ
antedessem	ˌɐ̃ŋtɨdˈɛseɪŋ
antedéssemos	ˌɐ̃ŋtɨdˈɛsɨmʊʃ
antedesses	ˌɐ̃ŋtɨdˈesɨʃ
antedeste	ˌɐ̃ŋtɨdˈɛʃtɨ
antedestes	ˌɐ̃ŋtɨdˈeʃtɨʃ
antedeu	ˌɐ̃ŋtɨdˈeʊ
antedito	ˌɐ̃ŋtɨdˈitʊ
antedizer	ˌɐ̃ŋtɨdizˈeɹ
antedizê	ˌɐ̃ŋtɨdizˈe
antedirá	ˌɐ̃ŋtɨdiɾˈa
antediz	ˌɐ̃ŋtɨdˈiʃ
antedirás	ˌɐ̃ŋtɨdiɾˈaʃ
anteditos	ˌɐ̃ŋtɨdˈitʊʃ
antedissermos	ˌɐ̃ŋtɨdisˈeɾəmʊʃ
antedisséssemos	ˌɐ̃ŋtɨdisˈɛsɨmʊʃ
antedissemos	ˌɐ̃ŋtɨdisˈemʊʃ
antediremos	ˌɐ̃ŋtɨdiɾˈemʊʃ
antediríamos	ˌɐ̃ŋtɨdiɾˈiɐ̃mʊʃ
antedizíamos	ˌɐ̃ŋtɨdizˈiɐ̃mʊʃ
antedisséramos	ˌɐ̃ŋtɨdisˈɛɾɐmʊʃ
antedigamos	ˌɐ̃ŋtɨdiɡˈɐ̃mʊʃ
antedizermos	ˌɐ̃ŋtɨdizˈeɾəmʊʃ
antedizemos	ˌɐ̃ŋtɨdizˈemʊʃ
antediríeis	ˌɐ̃ŋtɨdiɾˈieɪʃ
antedizíeis	ˌɐ̃ŋtɨdizˈieɪʃ
antedissésseis	ˌɐ̃ŋtɨdisˈɛseɪʃ
antedisséreis	ˌɐ̃ŋtɨdisˈɛɾeɪʃ
antedireis	ˌɐ̃ŋtɨdiɾˈeɪʃ
antedigais	ˌɐ̃ŋtɨdiɡˈaɪʃ
antedizeis	ˌɐ̃ŋtɨdizˈeɪʃ
antedissestes	ˌɐ̃ŋtɨdisˈeʃtɨʃ
antedissesses	ˌɐ̃ŋtɨdisˈesɨʃ
antedisseres	ˌɐ̃ŋtɨdisˈeɾɨʃ
antedisserdes	ˌɐ̃ŋtɨdisˈeɾədɨʃ
antedizerdes	ˌɐ̃ŋtɨdizˈeɾədɨʃ
antedizeres	ˌɐ̃ŋtɨdizˈeɾɨʃ
anteditas	ˌɐ̃ŋtɨdˈitɐʃ
antedisseras	ˌɐ̃ŋtɨdisˈeɾɐʃ
antedirias	ˌɐ̃ŋtɨdiɾˈiɐʃ
antedizias	ˌɐ̃ŋtɨdizˈiɐʃ
antedigas	ˌɐ̃ŋtɨdˈiɡɐʃ
antedizes	ˌɐ̃ŋtɨdˈizɨʃ
antedisser	ˌɐ̃ŋtɨdisˈɛɹ
antedirão	ˌɐ̃ŋtɨdiɾˈɐ̃ʊ̃
antedito	ˌɐ̃ŋtɨdˈitʊ
antedigo	ˌɐ̃ŋtɨdˈiɡʊ
antedizendo	ˌɐ̃ŋtɨdizˈeɪŋdʊ
antedissessem	ˌɐ̃ŋtɨdisˈɛseɪŋ
antedisserem	ˌɐ̃ŋtɨdisˈɛɾeɪŋ
antedizerem	ˌɐ̃ŋtɨdizˈeɾeɪŋ
antedisseram	ˌɐ̃ŋtɨdisˈɛɾɐ̃ʊ̃
antediriam	ˌɐ̃ŋtɨdiɾˈiɐ̃ʊ̃
antediziam	ˌɐ̃ŋtɨdizˈiɐ̃ʊ̃
antedigam	ˌɐ̃ŋtɨdˈiɡɐ̃ʊ̃
antedizem	ˌɐ̃ŋtɨdˈizeɪŋ
antedirei	ˌɐ̃ŋtɨdiɾˈeɪ
antedizei	ˌɐ̃ŋtɨdizˈeɪ
antedisseste	ˌɐ̃ŋtɨdisˈɛʃtɨ
antedissesse	ˌɐ̃ŋtɨdisˈɛsɨ
antedisse	ˌɐ̃ŋtɨdˈisɨ
antedita	ˌɐ̃ŋtɨdˈitɐ
antedissera	ˌɐ̃ŋtɨdisˈɛɾɐ
antediria	ˌɐ̃ŋtɨdiɾˈiɐ
antedizia	ˌɐ̃ŋtɨdizˈiɐ
antediga	ˌɐ̃ŋtɨdˈiɡɐ
antedou	ˌɐ̃ŋtɨdˈow
antefosso	ˌɐ̃ŋtɨfˈɔsʊ
anteguarda	ˌɐ̃ŋtɨɡwˈaɾədɐ
antemão	ˌɐ̃ŋtɨmˈɐ̃ʊ̃
antemostrar	ˌɐ̃ŋtɨmuʃtɹˈaɹ
antemostrará	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈa
antemostrá	ˌɐ̃ŋtɨmuʃtɹˈa
antemostrou	ˌɐ̃ŋtɨmuʃtɹˈow
antemostrarás	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈaʃ
antemostrámos	ˌɐ̃ŋtɨmuʃtɹˈamʊʃ
antemostrássemos	ˌɐ̃ŋtɨmuʃtɹˈasɨmʊʃ
antemostraremos	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈemʊʃ
antemostremos	ˌɐ̃ŋtɨmuʃtɹˈemʊʃ
antemostraríamos	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈiɐ̃mʊʃ
antemostrávamos	ˌɐ̃ŋtɨmuʃtɹˈavɐmʊʃ
antemostráramos	ˌɐ̃ŋtɨmuʃtɹˈaɾɐmʊʃ
antemostrarmos	ˌɐ̃ŋtɨmuʃtɹˈaɾəmʊʃ
antemostramos	ˌɐ̃ŋtɨmuʃtɹˈɐ̃mʊʃ
antemostrados	ˌɐ̃ŋtɨmuʃtɹˈadʊʃ
antemostraríeis	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈieɪʃ
antemostráveis	ˌɐ̃ŋtɨmuʃtɹˈaveɪʃ
antemostrásseis	ˌɐ̃ŋtɨmuʃtɹˈaseɪʃ
antemostráreis	ˌɐ̃ŋtɨmuʃtɹˈaɾeɪʃ
antemostrareis	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈeɪʃ
antemostreis	ˌɐ̃ŋtɨmuʃtɹˈeɪʃ
antemostrais	ˌɐ̃ŋtɨmuʃtɹˈaɪʃ
antemostrastes	ˌɐ̃ŋtɨmuʃtɹˈaʃtɨʃ
antemostrasses	ˌɐ̃ŋtɨmuʃtɹˈasɨʃ
antemostrardes	ˌɐ̃ŋtɨmuʃtɹˈaɾədɨʃ
antemostrares	ˌɐ̃ŋtɨmuʃtɹˈaɾɨʃ
antemostres	ˌɐ̃ŋtɨmˈoʃtɹɨʃ
antemostravas	ˌɐ̃ŋtɨmuʃtɹˈavɐʃ
antemostrarias	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈiɐʃ
antemostradas	ˌɐ̃ŋtɨmuʃtɹˈadɐʃ
antemostraras	ˌɐ̃ŋtɨmuʃtɹˈaɾɐʃ
antemostras	ˌɐ̃ŋtɨmˈoʃtɹɐʃ
antemostrarão	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈɐ̃ʊ̃
antemostrando	ˌɐ̃ŋtɨmuʃtɹˈɐ̃ŋdʊ
antemostrado	ˌɐ̃ŋtɨmuʃtɹˈadʊ
antemostro	ˌɐ̃ŋtɨmˈɔʃtɹʊ
antemostrassem	ˌɐ̃ŋtɨmuʃtɹˈaseɪŋ
antemostrarem	ˌɐ̃ŋtɨmuʃtɹˈaɾeɪŋ
antemostrem	ˌɐ̃ŋtɨmˈɔʃtɹeɪŋ
antemostravam	ˌɐ̃ŋtɨmuʃtɹˈavɐ̃ʊ̃
antemostrariam	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈiɐ̃ʊ̃
antemostraram	ˌɐ̃ŋtɨmuʃtɹˈaɾɐ̃ʊ̃
antemostram	ˌɐ̃ŋtɨmˈɔʃtɹɐ̃ʊ̃
antemostrarei	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈeɪ
antemostrei	ˌɐ̃ŋtɨmuʃtɹˈeɪ
antemostrai	ˌɐ̃ŋtɨmuʃtɹˈaɪ
antemostraste	ˌɐ̃ŋtɨmuʃtɹˈaʃtɨ
antemostrasse	ˌɐ̃ŋtɨmuʃtɹˈasɨ
antemostre	ˌɐ̃ŋtɨmˈɔʃtɹɨ
antemostrava	ˌɐ̃ŋtɨmuʃtɹˈavɐ
antemostraria	ˌɐ̃ŋtɨmˌuʃtɹɐɾˈiɐ
antemostrada	ˌɐ̃ŋtɨmuʃtɹˈadɐ
antemostrara	ˌɐ̃ŋtɨmuʃtɹˈaɾɐ
antemostra	ˌɐ̃ŋtɨmˈɔʃtɹɐ
antemover	ˌɐ̃ŋtɨmuvˈeɹ
antemovê	ˌɐ̃ŋtɨmuvˈe
antemoverá	ˌɐ̃ŋtɨmˌuvɨɾˈa
antemoveu	ˌɐ̃ŋtɨmuvˈeʊ
antemoverás	ˌɐ̃ŋtɨmˌuvɨɾˈaʃ
antemovêssemos	ˌɐ̃ŋtɨmuvˈesɨmʊʃ
antemoveremos	ˌɐ̃ŋtɨmˌuvɨɾˈemʊʃ
antemoveríamos	ˌɐ̃ŋtɨmˌuvɨɾˈiɐ̃mʊʃ
antemovíamos	ˌɐ̃ŋtɨmuvˈiɐ̃mʊʃ
antemovêramos	ˌɐ̃ŋtɨmuvˈeɾɐmʊʃ
antemovamos	ˌɐ̃ŋtɨmuvˈɐ̃mʊʃ
antemovermos	ˌɐ̃ŋtɨmuvˈeɾəmʊʃ
antemovemos	ˌɐ̃ŋtɨmuvˈemʊʃ
antemovidos	ˌɐ̃ŋtɨmuvˈidʊʃ
antemoveríeis	ˌɐ̃ŋtɨmˌuvɨɾˈieɪʃ
antemovíeis	ˌɐ̃ŋtɨmuvˈieɪʃ
antemovêsseis	ˌɐ̃ŋtɨmuvˈeseɪʃ
antemovêreis	ˌɐ̃ŋtɨmuvˈeɾeɪʃ
antemovereis	ˌɐ̃ŋtɨmˌuvɨɾˈeɪʃ
antemovais	ˌɐ̃ŋtɨmuvˈaɪʃ
antemoveis	ˌɐ̃ŋtɨmuvˈeɪʃ
antemovestes	ˌɐ̃ŋtɨmuvˈeʃtɨʃ
antemovesses	ˌɐ̃ŋtɨmuvˈesɨʃ
antemoverdes	ˌɐ̃ŋtɨmuvˈeɾədɨʃ
antemoveres	ˌɐ̃ŋtɨmuvˈeɾɨʃ
antemoverias	ˌɐ̃ŋtɨmˌuvɨɾˈiɐʃ
antemovias	ˌɐ̃ŋtɨmuvˈiɐʃ
antemovidas	ˌɐ̃ŋtɨmuvˈidɐʃ
antemoveras	ˌɐ̃ŋtɨmuvˈeɾɐʃ
antemovas	ˌɐ̃ŋtɨmˈovɐʃ
antemoves	ˌɐ̃ŋtɨmˈovɨʃ
antemoverão	ˌɐ̃ŋtɨmˌuvɨɾˈɐ̃ʊ̃
antemovendo	ˌɐ̃ŋtɨmuvˈeɪŋdʊ
antemovido	ˌɐ̃ŋtɨmuvˈidʊ
antemovo	ˌɐ̃ŋtɨmˈovʊ
