a	'a
antecipáveis	,&~Ntysip'aveIs#
antecipásseis	,&~Ntysip'aseIs#
antecipáreis	,&~Ntysip'a*eIs#
antecipareis	,&~Ntys,ip&*'eIs#
antecipeis	,&~Ntysip'eIs#
antecipais	,&~Ntysip'aIs#
antecipações	,&~Ntys,ip&s'o~js#
antecipastes	,&~Ntysip'as#tys#
antecipasses	,&~Ntysip'asys#
antecipardes	,&~Ntysip'a*@-dys#
antecipares	,&~Ntysip'a*ys#
antecipes	,&~Ntys'ipys#
antecipavas	,&~Ntysip'av&s#
anteciparias	,&~Ntys,ip&*'i;&s#
antecipadas	,&~Ntysip'ad&s#
anteciparas	,&~Ntysip'a*&s#
antecipas	,&~Ntys'ip&s#
antecipação	,&~Ntys,ip&s'&U~
anteciparão	,&~Ntys,ip&*'&U~
antecipando	,&~Ntysip'&~NdU
antecipado	,&~Ntysip'adU
antecipo	,&~Ntys'ipU
antecipassem	,&~Ntysip'aseIN
anteciparem	,&~Ntysip'a*eIN
antecipem	,&~Ntys'ipeIN
antecipavam	,&~Ntysip'av&U~
antecipariam	,&~Ntys,ip&*'i;&U~
anteciparam	,&~Ntysip'a*&U~
antecipam	,&~Ntys'ip&U~
antecipável	,&~Ntysip'av,El
anteciparei	,&~Ntys,ip&*'eI
antecipei	,&~Ntysip'eI
antecipai	,&~Ntysip'aI
antecipaste	,&~Ntysip'as#ty
antecipasse	,&~Ntysip'asy
antecipe	,&~Ntys'ipy
antecipava	,&~Ntysip'av&
anteciparia	,&~Ntys,ip&*'i;&
antecipada	,&~Ntysip'ad&
antecipara	,&~Ntysip'a*&
antecipa	,&~Ntys'ip&
anteclássico	&~Nt,Ekl'asikU
antecoluna	,&~Ntykul'un&
antecolunas	,&~Ntykul'un&s#
anteconhecimento	,&~Ntyk,un^ysim'eINtU
antecoro	,&~Ntyk'O*U
antecoros	,&~Ntyk'o*Us#
antedá	,&~Ntyd'a
antedada	,&~Ntyd'ad&
antedadas	,&~Ntyd'ad&s#
antedado	,&~Ntyd'adU
antedados	,&~Ntyd'adUs#
antedai	,&~Ntyd'aI
antedais	,&~Ntyd'aIs#
antedamos	,&~Ntyd'&~mUs#
antedando	,&~Ntyd'&~NdU
antedão	,&~Ntyd'&U~
antedará	,&~Ntyd&*'a
antedarão	,&~Ntyd&*'&U~
antedarás	,&~Ntyd&*'as#
antedardes	,&~Ntyd'a*@-dys#
antedarei	,&~Ntyd&*'eI
antedareis	,&~Ntyd&*'eIs#
antedarem	,&~Ntyd'a*eIN
antedaremos	,&~Ntyd&*'emUs#
antedares	,&~Ntyd'a*ys#
antedaria	,&~Ntyd&*'i;&
antedariam	,&~Ntyd&*'i;&U~
antedaríamos	,&~Ntyd&*'i;&~mUs#
antedarias	,&~Ntyd&*'i;&s#
antedaríeis	,&~Ntyd&*'i;eIs#
antedarmos	,&~Ntyd'a*@-mUs#
antedás	,&~Ntyd'as#
antedava	,&~Ntyd'av&
antedavam	,&~Ntyd'av&U~
antedávamos	,&~Ntyd'av&mUs#
antedavas	,&~Ntyd'av&s#
antedáveis	,&~Ntyd'aveIs#
antedê	,&~Ntyd'e
antedeem	,&~Ntyd'i;eIN
antedei	,&~Ntyd'eI
antedeis	,&~Ntyd'eIs#
antedemos	,&~Ntyd'emUs#
antedêmos	,&~Ntyd'emUs#
anteder	,&~Ntyd'er-
antedera	,&~Ntyd'e*&
antederam	,&~Ntyd'e*&U~
antedéramos	,&~Ntyd'E*&mUs#
antederas	,&~Ntyd'e*&s#
antederdes	,&~Ntyd'e*@-dys#
antedéreis	,&~Ntyd'E*eIs#
antederem	,&~Ntyd'e*eIN
antederes	,&~Ntyd'e*ys#
antedermos	,&~Ntyd'e*@-mUs#
antedês	,&~Ntyd'es#
antedesse	,&~Ntyd'Esy
antedésseis	,&~Ntyd'EseIs#
antedessem	,&~Ntyd'EseIN
antedéssemos	,&~Ntyd'EsymUs#
antedesses	,&~Ntyd'esys#
antedeste	,&~Ntyd'Es#ty
antedestes	,&~Ntyd'es#tys#
antedeu	,&~Ntyd'eU
antedito	,&~Ntyd'itU
antedizer	,&~Ntydiz'er-
antedizê	,&~Ntydiz'e
antedirá	,&~Ntydi*'a
antediz	,&~Ntyd'iS
antedirás	,&~Ntydi*'as#
anteditos	,&~Ntyd'itUs#
antedissermos	,&~Ntydis'e*@-mUs#
antedisséssemos	,&~Ntydis'EsymUs#
antedissemos	,&~Ntydis'emUs#
antediremos	,&~Ntydi*'emUs#
antediríamos	,&~Ntydi*'i;&~mUs#
antedizíamos	,&~Ntydiz'i;&~mUs#
antedisséramos	,&~Ntydis'E*&mUs#
antedigamos	,&~Ntydig'&~mUs#
antedizermos	,&~Ntydiz'e*@-mUs#
antedizemos	,&~Ntydiz'emUs#
antediríeis	,&~Ntydi*'i;eIs#
antedizíeis	,&~Ntydiz'i;eIs#
antedissésseis	,&~Ntydis'EseIs#
antedisséreis	,&~Ntydis'E*eIs#
antedireis	,&~Ntydi*'eIs#
antedigais	,&~Ntydig'aIs#
antedizeis	,&~Ntydiz'eIs#
antedissestes	,&~Ntydis'es#tys#
antedissesses	,&~Ntydis'esys#
antedisseres	,&~Ntydis'e*ys#
antedisserdes	,&~Ntydis'e*@-dys#
antedizerdes	,&~Ntydiz'e*@-dys#
antedizeres	,&~Ntydiz'e*ys#
anteditas	,&~Ntyd'it&s#
antedisseras	,&~Ntydis'e*&s#
antedirias	,&~Ntydi*'i;&s#
antedizias	,&~Ntydiz'i;&s#
antedigas	,&~Ntyd'ig&s#
antedizes	,&~Ntyd'izys#
antedisser	,&~Ntydis'Er-
antedirão	,&~Ntydi*'&U~
antedito	,&~Ntyd'itU
antedigo	,&~Ntyd'igU
antedizendo	,&~Ntydiz'eINdU
antedissessem	,&~Ntydis'EseIN
antedisserem	,&~Ntydis'E*eIN
antedizerem	,&~Ntydiz'e*eIN
antedisseram	,&~Ntydis'E*&U~
antediriam	,&~Ntydi*'i;&U~
antediziam	,&~Ntydiz'i;&U~
antedigam	,&~Ntyd'ig&U~
antedizem	,&~Ntyd'izeIN
antedirei	,&~Ntydi*'eI
antedizei	,&~Ntydiz'eI
antedisseste	,&~Ntydis'Es#ty
antedissesse	,&~Ntydis'Esy
antedisse	,&~Ntyd'isy
antedita	,&~Ntyd'it&
antedissera	,&~Ntydis'E*&
antediria	,&~Ntydi*'i;&
antedizia	,&~Ntydiz'i;&
antediga	,&~Ntyd'ig&
antedou	,&~Ntyd'ow
antefosso	,&~Ntyf'OsU
anteguarda	,&~Ntygw'a*@-d&
antemão	,&~Ntym'&U~
antemostrar	,&~Ntymus#tR'ar-
antemostrará	,&~Ntym,us#tR&*'a
antemostrá	,&~Ntymus#tR'a
antemostrou	,&~Ntymus#tR'ow
antemostrarás	,&~Ntym,us#tR&*'as#
antemostrámos	,&~Ntymus#tR'amUs#
antemostrássemos	,&~Ntymus#tR'asymUs#
antemostraremos	,&~Ntym,us#tR&*'emUs#
antemostremos	,&~Ntymus#tR'emUs#
antemostraríamos	,&~Ntym,us#tR&*'i;&~mUs#
antemostrávamos	,&~Ntymus#tR'av&mUs#
antemostráramos	,&~Ntymus#tR'a*&mUs#
antemostrarmos	,&~Ntymus#tR'a*@-mUs#
antemostramos	,&~Ntymus#tR'&~mUs#
antemostrados	,&~Ntymus#tR'adUs#
antemostraríeis	,&~Ntym,us#tR&*'i;eIs#
antemostráveis	,&~Ntymus#tR'aveIs#
antemostrásseis	,&~Ntymus#tR'aseIs#
antemostráreis	,&~Ntymus#tR'a*eIs#
antemostrareis	,&~Ntym,us#tR&*'eIs#
antemostreis	,&~Ntymus#tR'eIs#
antemostrais	,&~Ntymus#tR'aIs#
antemostrastes	,&~Ntymus#tR'as#tys#
antemostrasses	,&~Ntymus#tR'asys#
antemostrardes	,&~Ntymus#tR'a*@-dys#
antemostrares	,&~Ntymus#tR'a*ys#
antemostres	,&~Ntym'os#tRys#
antemostravas	,&~Ntymus#tR'av&s#
antemostrarias	,&~Ntym,us#tR&*'i;&s#
antemostradas	,&~Ntymus#tR'ad&s#
antemostraras	,&~Ntymus#tR'a*&s#
antemostras	,&~Ntym'os#tR&s#
antemostrarão	,&~Ntym,us#tR&*'&U~
antemostrando	,&~Ntymus#tR'&~NdU
antemostrado	,&~Ntymus#tR'adU
antemostro	,&~Ntym'Os#tRU
antemostrassem	,&~Ntymus#tR'aseIN
antemostrarem	,&~Ntymus#tR'a*eIN
antemostrem	,&~Ntym'Os#tReIN
antemostravam	,&~Ntymus#tR'av&U~
antemostrariam	,&~Ntym,us#tR&*'i;&U~
antemostraram	,&~Ntymus#tR'a*&U~
antemostram	,&~Ntym'Os#tR&U~
antemostrarei	,&~Ntym,us#tR&*'eI
antemostrei	,&~Ntymus#tR'eI
antemostrai	,&~Ntymus#tR'aI
antemostraste	,&~Ntymus#tR'as#ty
antemostrasse	,&~Ntymus#tR'asy
antemostre	,&~Ntym'Os#tRy
antemostrava	,&~Ntymus#tR'av&
antemostraria	,&~Ntym,us#tR&*'i;&
antemostrada	,&~Ntymus#tR'ad&
antemostrara	,&~Ntymus#tR'a*&
antemostra	,&~Ntym'Os#tR&
antemover	,&~Ntymuv'er-
antemovê	,&~Ntymuv'e
antemoverá	,&~Ntym,uvy*'a
antemoveu	,&~Ntymuv'eU
antemoverás	,&~Ntym,uvy*'as#
antemovêssemos	,&~Ntymuv'esymUs#
antemoveremos	,&~Ntym,uvy*'emUs#
antemoveríamos	,&~Ntym,uvy*'i;&~mUs#
antemovíamos	,&~Ntymuv'i;&~mUs#
antemovêramos	,&~Ntymuv'e*&mUs#
antemovamos	,&~Ntymuv'&~mUs#
antemovermos	,&~Ntymuv'e*@-mUs#
antemovemos	,&~Ntymuv'emUs#
antemovidos	,&~Ntymuv'idUs#
antemoveríeis	,&~Ntym,uvy*'i;eIs#
antemovíeis	,&~Ntymuv'i;eIs#
antemovêsseis	,&~Ntymuv'eseIs#
antemovêreis	,&~Ntymuv'e*eIs#
antemovereis	,&~Ntym,uvy*'eIs#
antemovais	,&~Ntymuv'aIs#
antemoveis	,&~Ntymuv'eIs#
antemovestes	,&~Ntymuv'es#tys#
antemovesses	,&~Ntymuv'esys#
antemoverdes	,&~Ntymuv'e*@-dys#
antemoveres	,&~Ntymuv'e*ys#
antemoverias	,&~Ntym,uvy*'i;&s#
antemovias	,&~Ntymuv'i;&s#
antemovidas	,&~Ntymuv'id&s#
antemoveras	,&~Ntymuv'e*&s#
antemovas	,&~Ntym'ov&s#
antemoves	,&~Ntym'ovys#
antemoverão	,&~Ntym,uvy*'&U~
antemovendo	,&~Ntymuv'eINdU
antemovido	,&~Ntymuv'idU
antemovo	,&~Ntym'ovU
antemovessem	,&~Ntymuv'eseIN
antemoverem	,&~Ntymuv'e*eIN
antemoveriam	,&~Ntym,uvy*'i;&U~
antemoviam	,&~Ntymuv'i;&U~
antemoveram	,&~Ntymuv'e*&U~
antemovam	,&~Ntym'ov&U~
antemovem	,&~Ntym'OveIN
antemoverei	,&~Ntym,uvy*'eI
antemovi	,&~Ntymuv'i
antemovei	,&~Ntymuv'eI
antemoveste	,&~Ntymuv'es#ty
antemovesse	,&~Ntymuv'esy
antemove	,&~Ntym'Ovy
antemoveria	,&~Ntym,uvy*'i;&
antemovia	,&~Ntymuv'i;&
antemovida	,&~Ntymuv'id&
antemovera	,&~Ntymuv'e*&
antemova	,&~Ntym'ov&
antemural	,&~Ntymu*'Al
antemuralha	,&~Ntymu*'al^&
antemurar	,&~Ntymu*'ar-
antemurará	,&~Ntym,u*&*'a
antemurá	,&~Ntymu*'a
antemurou	,&~Ntymu*'ow
antemurarás	,&~Ntym,u*&*'as#
antemurámos	,&~Ntymu*'amUs#
antemurássemos	,&~Ntymu*'asymUs#
antemuraremos	,&~Ntym,u*&*'emUs#
antemuremos	,&~Ntymu*'emUs#
antemuraríamos	,&~Ntym,u*&*'i;&~mUs#
antemurávamos	,&~Ntymu*'av&mUs#
antemuráramos	,&~Ntymu*'a*&mUs#
antemurarmos	,&~Ntymu*'a*@-mUs#
antemuramos	,&~Ntymu*'&~mUs#
antemurados	,&~Ntymu*'adUs#
antemuraríeis	,&~Ntym,u*&*'i;eIs#
antemuráveis	,&~Ntymu*'aveIs#
antemurásseis	,&~Ntymu*'aseIs#
antemuráreis	,&~Ntymu*'a*eIs#
antemurareis	,&~Ntym,u*&*'eIs#
antemureis	,&~Ntymu*'eIs#
antemurais	,&~Ntymu*'aIs#
antemurastes	,&~Ntymu*'as#tys#
antemurasses	,&~Ntymu*'asys#
antemurardes	,&~Ntymu*'a*@-dys#
antemurares	,&~Ntymu*'a*ys#
antemures	,&~Ntym'u*ys#
antemuravas	,&~Ntymu*'av&s#
antemurarias	,&~Ntym,u*&*'i;&s#
antemuradas	,&~Ntymu*'ad&s#
antemuraras	,&~Ntymu*'a*&s#
antemuras	,&~Ntym'u*&s#
antemurarão	,&~Ntym,u*&*'&U~
antemurando	,&~Ntymu*'&~NdU
antemurado	,&~Ntymu*'adU
antemuro	,&~Ntym'u*U
antemurassem	,&~Ntymu*'aseIN
antemurarem	,&~Ntymu*'a*eIN
antemurem	,&~Ntym'u*eIN
antemuravam	,&~Ntymu*'av&U~
antemurariam	,&~Ntym,u*&*'i;&U~
antemuraram	,&~Ntymu*'a*&U~
antemuram	,&~Ntym'u*&U~
antemurarei	,&~Ntym,u*&*'eI
antemurei	,&~Ntymu*'eI
antemurai	,&~Ntymu*'aI
antemuraste	,&~Ntymu*'as#ty
antemurasse	,&~Ntymu*'asy
antemure	,&~Ntym'u*y
antemurava	,&~Ntymu*'av&
antemuraria	,&~Ntym,u*&*'i;&
antemurada	,&~Ntymu*'ad&
antemurara	,&~Ntymu*'a*&
antemura	,&~Ntym'u*&
antemuro	,&~Ntym'u*U
antena	,&~Nt'en&
antenas	,&~Nt'en&s#
antenado	,&~Ntyn'adU
antenadas	,&~Ntyn'ad&s#
antenados	,&~Ntyn'adUs#
antenada	,&~Ntyn'ad&
antenal	,&~Ntyn'Al
anteniforme	,&~Ntynif'O*@-my
anteniformes	,&~Ntynif'o*@-mys#
antenome	,&~Ntyn'omy
antenupcial	,&~Ntyn,upsi;'Al
anteocular	,&~Nt'i;uk,ul&r-
anteocupante	&~Nt,i;ukup'&~Nty
anteocupantes	&~Nt,i;ukup'&~Ntys#
anteocupar	,&~Nt'i;uk,up&r-
anteocupará	,&~Nti;,ukup&*'a
anteocupá	,&~Nti;,ukup'a
anteocupou	,&~Nt'i;uk,upuw
anteocuparás	,&~Nti;,ukup&*'as#
anteocupámos	,&~Nti;,ukup'amUs#
anteocupássemos	&~Nt,i;ukup'asymUs#
anteocuparemos	&~Nt,i;uk,up&*'emUs#
anteocupemos	&~Nt,i;ukup'emUs#
anteocuparíamos	&~Nt,i;uk,up&*'i;&~mUs#
anteocupávamos	,&~Nti;,ukup'av&mUs#
anteocupáramos	,&~Nti;,ukup'a*&mUs#
anteocuparmos	&~Nt,i;ukup'a*@-mUs#
anteocupamos	&~Nt,i;ukup'&~mUs#
anteocupados	&~Nt,i;ukup'adUs#
anteocuparíeis	,&~Nti;,ukup&*'i;eIs#
anteocupáveis	,&~Nti;,ukup'aveIs#
anteocupásseis	,&~Nti;,ukup'aseIs#
anteocupáreis	,&~Nti;,ukup'a*eIs#
anteocupareis	,&~Nt'i;uk,up&*eIs#
anteocupeis	,&~Nt'i;uk,upeIs#
anteocupais	,&~Nt'i;uk,upaIs#
anteocupações	,&~Nt'i;uk,up&so~js#
anteocupastes	&~Nt,i;ukup'as#tys#
anteocupantes	&~Nt,i;ukup'&~Ntys#
anteocupasses	&~Nt,i;ukup'asys#
anteocupardes	&~Nt,i;ukup'a*@-dys#
anteocupares	&~Nt,i;ukup'a*ys#
anteocupes	&~Nt,i;uk'upys#
anteocupavas	&~Nt,i;ukup'av&s#
anteocuparias	&~Nt,i;uk,up&*'i;&s#
anteocupadas	&~Nt,i;ukup'ad&s#
anteocuparas	&~Nt,i;ukup'a*&s#
anteocupas	&~Nt,i;uk'up&s#
anteocupação	,&~Nt'i;uk,up&s&U~
anteocuparão	,&~Nt'i;uk,up&*&U~
anteocupando	&~Nt,i;ukup'&~NdU
anteocupado	&~Nt,i;ukup'adU
anteocupo	&~Nt,i;uk'upU
anteocupassem	&~Nt,i;ukup'aseIN
anteocuparem	&~Nt,i;ukup'a*eIN
anteocupem	&~Nt,i;uk'upeIN
anteocupavam	&~Nt,i;ukup'av&U~
anteocupariam	,&~Nt'i;uk,up&*'i;&U~
anteocuparam	&~Nt,i;ukup'a*&U~
anteocupam	&~Nt,i;uk'up&U~
anteocuparei	,&~Nt'i;uk,up&*eI
anteocupei	,&~Nt'i;uk,upeI
anteocupai	,&~Nt'i;uk,upaI
anteocupaste	&~Nt,i;ukup'as#ty
anteocupante	&~Nt,i;ukup'&~Nty
anteocupasse	&~Nt,i;ukup'asy
anteocupe	&~Nt,i;uk'upy
anteocupava	&~Nt,i;ukup'av&
anteocuparia	,&~Nt'i;uk,up&*'i;&
anteocupada	&~Nt,i;ukup'ad&
anteocupara	&~Nt,i;ukup'a*&
anteocupa	&~Nt,i;uk'up&
anteontem	&~Nt,i;'oNteIN
antepaga	,&~Ntyp'ag&
antepagar	,&~Ntyp&g'ar-
antepagará	,&~Ntyp,&g&*'a
antepagá	,&~Ntyp&g'a
antepagou	,&~Ntyp&g'ow
antepagarás	,&~Ntyp,&g&*'as#
antepagámos	,&~Ntyp&g'amUs#
antepaguemos	,&~Ntyp&g'emUs#
antepagássemos	,&~Ntyp&g'asymUs#
antepagaremos	,&~Ntyp,&g&*'emUs#
antepagaríamos	,&~Ntyp,&g&*'i;&~mUs#
antepagávamos	,&~Ntyp&g'av&mUs#
antepagáramos	,&~Ntyp&g'a*&mUs#
antepagarmos	,&~Ntyp&g'a*@-mUs#
antepagamos	,&~Ntyp&g'&~mUs#
antepagados	,&~Ntyp&g'adUs#
antepagaríeis	,&~Ntyp,&g&*'i;eIs#
antepagáveis	,&~Ntyp&g'aveIs#
antepagueis	,&~Ntyp&g'eIs#
antepagásseis	,&~Ntyp&g'aseIs#
antepagáreis	,&~Ntyp&g'a*eIs#
antepagareis	,&~Ntyp,&g&*'eIs#
antepagais	,&~Ntyp&g'aIs#
antepagues	,&~Ntyp'agys#
antepagastes	,&~Ntyp&g'as#tys#
antepagasses	,&~Ntyp&g'asys#
antepagardes	,&~Ntyp&g'a*@-dys#
antepagares	,&~Ntyp&g'a*ys#
antepagavas	,&~Ntyp&g'av&s#
antepagarias	,&~Ntyp,&g&*'i;&s#
antepagadas	,&~Ntyp&g'ad&s#
antepagaras	,&~Ntyp&g'a*&s#
antepagas	,&~Ntyp'ag&s#
antepagarão	,&~Ntyp,&g&*'&U~
antepagando	,&~Ntyp&g'&~NdU
antepagado	,&~Ntyp&g'adU
antepago	,&~Ntyp'agU
antepaguem	,&~Ntyp'ageIN
antepagassem	,&~Ntyp&g'aseIN
antepagarem	,&~Ntyp&g'a*eIN
antepagavam	,&~Ntyp&g'av&U~
antepagariam	,&~Ntyp,&g&*'i;&U~
antepagaram	,&~Ntyp&g'a*&U~
antepagam	,&~Ntyp'ag&U~
antepaguei	,&~Ntyp&g'eI
antepagarei	,&~Ntyp,&g&*'eI
antepagai	,&~Ntyp&g'aI
antepague	,&~Ntyp'agy
antepagaste	,&~Ntyp&g'as#ty
antepagasse	,&~Ntyp&g'asy
antepagava	,&~Ntyp&g'av&
antepagaria	,&~Ntyp,&g&*'i;&
antepagada	,&~Ntyp&g'ad&
antepagara	,&~Ntyp&g'a*&
antepaga	,&~Ntyp'ag&
antepara	,&~Ntyp'a*&
anteparar	,&~Ntyp&*'ar-
anteparará	,&~Ntyp,&*&*'a
antepará	,&~Ntyp&*'a
anteparou	,&~Ntyp&*'ow
antepararás	,&~Ntyp,&*&*'as#
anteparámos	,&~Ntyp&*'amUs#
anteparássemos	,&~Ntyp&*'asymUs#
antepararemos	,&~Ntyp,&*&*'emUs#
anteparemos	,&~Ntyp&*'emUs#
antepararíamos	,&~Ntyp,&*&*'i;&~mUs#
anteparávamos	,&~Ntyp&*'av&mUs#
anteparáramos	,&~Ntyp&*'a*&mUs#
antepararmos	,&~Ntyp&*'a*@-mUs#
anteparamos	,&~Ntyp&*'&~mUs#
anteparados	,&~Ntyp&*'adUs#
antepararíeis	,&~Ntyp,&*&*'i;eIs#
anteparáveis	,&~Ntyp&*'aveIs#
anteparásseis	,&~Ntyp&*'aseIs#
anteparáreis	,&~Ntyp&*'a*eIs#
anteparareis	,&~Ntyp,&*&*'eIs#
antepareis	,&~Ntyp&*'eIs#
anteparais	,&~Ntyp&*'aIs#
anteparastes	,&~Ntyp&*'as#tys#
anteparasses	,&~Ntyp&*'asys#
anteparardes	,&~Ntyp&*'a*@-dys#
anteparares	,&~Ntyp&*'a*ys#
antepares	,&~Ntyp'a*ys#
anteparavas	,&~Ntyp&*'av&s#
antepararias	,&~Ntyp,&*&*'i;&s#
anteparadas	,&~Ntyp&*'ad&s#
antepararas	,&~Ntyp&*'a*&s#
anteparas	,&~Ntyp'a*&s#
antepararão	,&~Ntyp,&*&*'&U~
anteparando	,&~Ntyp&*'&~NdU
anteparado	,&~Ntyp&*'adU
anteparo	,&~Ntyp'a*U
anteparassem	,&~Ntyp&*'aseIN
antepararem	,&~Ntyp&*'a*eIN
anteparem	,&~Ntyp'a*eIN
anteparavam	,&~Ntyp&*'av&U~
anteparariam	,&~Ntyp,&*&*'i;&U~
antepararam	,&~Ntyp&*'a*&U~
anteparam	,&~Ntyp'a*&U~
antepararei	,&~Ntyp,&*&*'eI
anteparei	,&~Ntyp&*'eI
anteparai	,&~Ntyp&*'aI
anteparaste	,&~Ntyp&*'as#ty
anteparasse	,&~Ntyp&*'asy
antepare	,&~Ntyp'a*y
anteparava	,&~Ntyp&*'av&
antepararia	,&~Ntyp,&*&*'i;&
anteparada	,&~Ntyp&*'ad&
anteparara	,&~Ntyp&*'a*&
antepara	,&~Ntyp'a*&
anteparo	,&~Ntyp'a*U
anteparas	,&~Ntyp'a*&s#
anteparos	,&~Ntyp'a*Us#
antepara	,&~Ntyp'a*&
anteparto	,&~Ntyp'a*@-tU
antepassar	,&~Ntyp&s'ar-
antepassará	,&~Ntyp,&s&*'a
antepassá	,&~Ntyp&s'a
antepassou	,&~Ntyp&s'ow
antepassarás	,&~Ntyp,&s&*'as#
antepassámos	,&~Ntyp&s'amUs#
antepassássemos	,&~Ntyp&s'asymUs#
antepassaremos	,&~Ntyp,&s&*'emUs#
antepassemos	,&~Ntyp&s'emUs#
antepassaríamos	,&~Ntyp,&s&*'i;&~mUs#
antepassávamos	,&~Ntyp&s'av&mUs#
antepassáramos	,&~Ntyp&s'a*&mUs#
antepassarmos	,&~Ntyp&s'a*@-mUs#
antepassamos	,&~Ntyp&s'&~mUs#
antepassados	,&~Ntyp&s'adUs#
antepassaríeis	,&~Ntyp,&s&*'i;eIs#
antepassáveis	,&~Ntyp&s'aveIs#
antepassásseis	,&~Ntyp&s'aseIs#
antepassáreis	,&~Ntyp&s'a*eIs#
antepassareis	,&~Ntyp,&s&*'eIs#
antepasseis	,&~Ntyp&s'eIs#
antepassais	,&~Ntyp&s'aIs#
antepassastes	,&~Ntyp&s'as#tys#
antepassasses	,&~Ntyp&s'asys#
antepassardes	,&~Ntyp&s'a*@-dys#
antepassares	,&~Ntyp&s'a*ys#
antepasses	,&~Ntyp'asys#
antepassavas	,&~Ntyp&s'av&s#
antepassarias	,&~Ntyp,&s&*'i;&s#
antepassadas	,&~Ntyp&s'ad&s#
antepassaras	,&~Ntyp&s'a*&s#
antepassas	,&~Ntyp'as&s#
antepassarão	,&~Ntyp,&s&*'&U~
antepassando	,&~Ntyp&s'&~NdU
antepassado	,&~Ntyp&s'adU
antepasso	,&~Ntyp'asU
antepassassem	,&~Ntyp&s'aseIN
antepassarem	,&~Ntyp&s'a*eIN
antepassem	,&~Ntyp'aseIN
antepassavam	,&~Ntyp&s'av&U~
antepassariam	,&~Ntyp,&s&*'i;&U~
antepassaram	,&~Ntyp&s'a*&U~
antepassam	,&~Ntyp'as&U~
antepassarei	,&~Ntyp,&s&*'eI
antepassei	,&~Ntyp&s'eI
antepassai	,&~Ntyp&s'aI
antepassaste	,&~Ntyp&s'as#ty
antepassasse	,&~Ntyp&s'asy
antepasse	,&~Ntyp'asy
antepassava	,&~Ntyp&s'av&
antepassaria	,&~Ntyp,&s&*'i;&
antepassada	,&~Ntyp&s'ad&
antepassara	,&~Ntyp&s'a*&
antepassa	,&~Ntyp'as&
antepasto	,&~Ntyp'as#tU
antepenúltimo	,&~Ntypyn'ultimU
antepenúltimas	,&~Ntypyn'ultim&s#
antepenúltimos	,&~Ntypyn'ultimUs#
antepenúltima	,&~Ntypyn'ultim&
antepor	,&~Ntyp'or-
anteporá	,&~Ntypu*'a
antepôs	,&~Ntyp'os#
anteporás	,&~Ntypu*'as#
antepus	,&~Ntyp'us#
antepostos	,&~Ntyp'OstUs#
antepusermos	,&~Ntypuz'e*@-mUs#
antepusemos	,&~Ntypuz'emUs#
antepuséssemos	,&~Ntypuz'EsymUs#
anteporemos	,&~Ntypu*'emUs#
anteporíamos	,&~Ntypu*'i;&~mUs#
antepuséramos	,&~Ntypuz'E*&mUs#
antepúnhamos	,&~Ntyp'u~n^&mUs#
anteponhamos	,&~Ntypun^'&~mUs#
antepormos	,&~Ntyp'o*@-mUs#
antepomos	,&~Ntyp'omUs#
anteporíeis	,&~Ntypu*'i;eIs#
antepusésseis	,&~Ntypuz'EseIs#
antepuséreis	,&~Ntypuz'E*eIs#
antepúnheis	,&~Ntyp'u~n^eIs#
anteporeis	,&~Ntypu*'eIs#
anteponhais	,&~Ntypun^'aIs#
antepões	,&~Ntyp'o~js#
antepusestes	,&~Ntypuz'es#tys#
antepusesses	,&~Ntypuz'esys#
antepuseres	,&~Ntypuz'e*ys#
antepuserdes	,&~Ntypuz'e*@-dys#
antepondes	,&~Ntyp'oNdys#
antepordes	,&~Ntyp'o*@-dys#
antepores	,&~Ntyp'o*ys#
antepostas	,&~Ntyp'os#t&s#
antepuseras	,&~Ntypuz'e*&s#
anteporias	,&~Ntypu*'i;&s#
antepunhas	,&~Ntyp'u~n^&s#
anteponhas	,&~Ntyp'on^&s#
antepuser	,&~Ntypuz'Er-
anteporão	,&~Ntypu*'&U~
anteposto	,&~Ntyp'os#tU
anteponho	,&~Ntyp'on^U
antepondo	,&~Ntyp'oNdU
antepõem	,&~Ntyp'o~jm
antepusessem	,&~Ntypuz'EseIN
antepuserem	,&~Ntypuz'E*eIN
anteporem	,&~Ntyp'o*eIN
antepuseram	,&~Ntypuz'E*&U~
anteporiam	,&~Ntypu*'i;&U~
antepunham	,&~Ntyp'u~n^&U~
anteponham	,&~Ntyp'on^&U~
anteporei	,&~Ntypu*'eI
antepõe	,&~Ntyp'o~j
antepuseste	,&~Ntypuz'Es#ty
antepusesse	,&~Ntypuz'Esy
anteponde	,&~Ntyp'oNdy
anteposta	,&~Ntyp'Os#t&
antepusera	,&~Ntypuz'E*&
anteporia	,&~Ntypu*'i;&
antepunha	,&~Ntyp'u~n^&
anteponha	,&~Ntyp'on^&
anteporta	,&~Ntyp'O*@-t&
anteportada	,&~Ntypu*@-t'ad&
anteportal	,&~Ntypu*@-t'Al
anteportaria	,&~Ntyp,u*@-t&*'i;&
anteportarias	,&~Ntyp,u*@-t&*'i;&s#
anteporto	,&~Ntyp'O*@-tU
anteportas	,&~Ntyp'o*@-t&s#
anteporta	,&~Ntyp'O*@-t&
anteposição	,&~Ntyp,uzis'&U~
anteposto	,&~Ntyp'os#tU
anteprograma	,&~NtypRugR'&~m&
anteprojeto	,&~NtypRuZ'EtU
anteprojetos	,&~NtypRuZ'etUs#
