aberrantemente	ˌabexˌɐ̃ŋtemˈeɪŋtʃɪ	ˌabexɐ̃ŋtʃɪmˈeɪŋtʃɪ
incisivamente	ˌiŋsizˌivɐmˈeɪŋtʃɪ	ˌiŋsizivɐmˈeɪŋtʃɪ
inclemente	ˌiŋklemˈeɪŋtʃɪ	iŋklɪmˈeɪŋtʃɪ
inclusivamente	ˌiŋkluzˌivɐmˈeɪŋtʃɪ	ˌiŋkluzivɐmˈeɪŋtʃɪ
incoerentemente	ˌiŋkoˌeɾeɪŋtemˈeɪŋtʃɪ	ˌiŋkoˌeɾeɪŋtʃɪmˈeɪŋtʃɪ
incognitamente	ˌiŋkoɡnˌitɐmˈeɪŋtʃɪ	ˌiŋkoɡnitɐmˈeɪŋtʃɪ
incomodamente	ˌiŋkomˌodɐmˈeɪŋtʃɪ	ˌiŋkomɔdɐmˈeɪŋtʃɪ
incompletamente	ˌiŋkomplˌetɐmˈeɪŋtʃɪ	ˌiŋkomplɛtɐmˈeɪŋtʃɪ
incomummente	ˌiŋkomũmmˈeɪŋtʃɪ	ˌiŋkomũŋmˈeɪŋtʃɪ
inconscientemente	ˌiŋkoŋsˌieɪŋtemˈeɪŋtʃɪ	ˌiŋkoŋsˌieɪŋtʃɪmˈeɪŋtʃɪ
inconsideradamente	ˌiŋkoŋsˌideɾˌadɐmˈeɪŋtʃɪ	ˌiŋkoŋsˌideɾadɐmˈeɪŋtʃɪ
inconstitucionalissimamente	ˌiŋkoŋstʃˌitusˌɪonˌalisˌimɐmˈeɪŋtʃɪ	ˌiŋkoŋstʃˌitusˌɪonˌalisimɐmˈeɪŋtʃɪ
incorretamente	ˌiŋkoxˌetɐmˈeɪŋtʃɪ	ˌiŋkoxɛtɐmˈeɪŋtʃɪ
incremente	ˌiŋkɾemˈeɪŋtʃɪ	iŋkɾɪmˈeɪŋtʃɪ
indecentemente	ˌiŋdesˌeɪŋtemˈeɪŋtʃɪ	ˌiŋdeseɪŋtʃɪmˈeɪŋtʃɪ
indecisamente	ˌiŋdesˌizɐmˈeɪŋtʃɪ	ˌiŋdesizɐmˈeɪŋtʃɪ
indecorosamente	ˌiŋdekˌoɾozɐmˈeɪŋtʃɪ	ˌiŋdekˌoɾɔzɐmˈeɪŋtʃɪ
indeliberadamente	ˌiŋdelˌibeɾˌadɐmˈeɪŋtʃɪ	ˌiŋdelˌibeɾadɐmˈeɪŋtʃɪ
independentemente	ˌiŋdepˌeɪŋdeɪŋtemˈeɪŋtʃɪ	ˌiŋdepˌeɪŋdeɪŋtʃɪmˈeɪŋtʃɪ
indeterminadamente	ˌiŋdetˌeɾminˌadɐmˈeɪŋtʃɪ	ˌiŋdetˌeɾminadɐmˈeɪŋtʃɪ
indevidamente	ˌiŋdevˌidɐmˈeɪŋtʃɪ	ˌiŋdevidɐmˈeɪŋtʃɪ
indiferentemente	ˌiŋdʒifˌeɾeɪŋtemˈeɪŋtʃɪ	ˌiŋdʒifˌeɾeɪŋtʃɪmˈeɪŋtʃɪ
indigentemente	ˌiŋdʒiʒˌeɪŋtemˈeɪŋtʃɪ	ˌiŋdʒiʒeɪŋtʃɪmˈeɪŋtʃɪ
indiretamente	ˌiŋdʒiɾˌetɐmˈeɪŋtʃɪ	ˌiŋdʒiɾɛtɐmˈeɪŋtʃɪ
indisciplinadamente	ˌiŋdʒisˌiplinˌadɐmˈeɪŋtʃɪ	ˌiŋdʒisˌiplinadɐmˈeɪŋtʃɪ
indiscretamente	ˌiŋdʒiskɾˌetɐmˈeɪŋtʃɪ	ˌiŋdʒiskɾɛtɐmˈeɪŋtʃɪ
indiscriminadamente	ˌiŋdʒiskɾˌiminˌadɐmˈeɪŋtʃɪ	ˌiŋdʒiskɾˌiminadɐmˈeɪŋtʃɪ
indistintamente	ˌiŋdʒistʃˌiŋtɐmˈeɪŋtʃɪ	ˌiŋdʒistʃiŋtɐmˈeɪŋtʃɪ
indolentemente	ˌiŋdolˌeɪŋtemˈeɪŋtʃɪ	ˌiŋdoleɪŋtʃɪmˈeɪŋtʃɪ
indulgentemente	ˌiŋduwʒˌeɪŋtemˈeɪŋtʃɪ	ˌiŋduwʒeɪŋtʃɪmˈeɪŋtʃɪ
industriosamente	ˌiŋdustɾˌiozɐmˈeɪŋtʃɪ	ˌiŋdustɾˌiɔzɐmˈeɪŋtʃɪ
ineficazmente	ˌinefˌikazmˈeɪŋtʃɪ	ˌinefˌikasmˈeɪŋtʃɪ
ineficientemente	ˌinefˌisiˌeɪŋtemˈeɪŋtʃɪ	ˌinefˌisieɪŋtʃɪmˈeɪŋtʃɪ
ineptamente	ˌineptɐmˈeɪŋtʃɪ	ˌinɛptɐmˈeɪŋtʃɪ
inequivocamente	ˌinekˌivokɐmˈeɪŋtʃɪ	ˌinekˌivɔkɐmˈeɪŋtʃɪ
inexatamente	ˌinezˌatɐmˈeɪŋtʃɪ	ˌinezatɐmˈeɪŋtʃɪ
infamemente	ˌiŋfɐmemˈeɪŋtʃɪ	ˌiŋfɐ̃mɪmˈeɪŋtʃɪ
infelizmente	ˌiŋfelizmˈeɪŋtʃɪ	ˌiŋfelismˈeɪŋtʃɪ
infinitamente	ˌiŋfinˌitɐmˈeɪŋtʃɪ	ˌiŋfinitɐmˈeɪŋtʃɪ
infrutuosamente	ˌiŋfɾutwˌozɐmˈeɪŋtʃɪ	ˌiŋfɾutwɔzɐmˈeɪŋtʃɪ
infundadamente	ˌiŋfũŋdˌadɐmˈeɪŋtʃɪ	ˌiŋfũŋdadɐmˈeɪŋtʃɪ
ingenuamente	ˌiŋʒenˌuɐmˈeɪŋtʃɪ	ˌiŋʒenuɐmˈeɪŋtʃɪ
ingloriamente	ˌiŋɡloɾˌiɐmˈeɪŋtʃɪ	ˌiŋɡloɾiɐmˈeɪŋtʃɪ
injetivamente	ˌiŋʒetʃˌivɐmˈeɪŋtʃɪ	ˌiŋʒetʃivɐmˈeɪŋtʃɪ
injuriosamente	ˌiŋʒuɾˌiozɐmˈeɪŋtʃɪ	ˌiŋʒuɾˌiɔzɐmˈeɪŋtʃɪ
injustificadamente	ˌiŋʒustʃˌifikˌadɐmˈeɪŋtʃɪ	ˌiŋʒustʃˌifikadɐmˈeɪŋtʃɪ
inocentemente	ˌinosˌeɪŋtemˈeɪŋtʃɪ	ˌinoseɪŋtʃɪmˈeɪŋtʃɪ
inocuamente	ˌinokˌuɐmˈeɪŋtʃɪ	ˌinokuɐmˈeɪŋtʃɪ
inquietantemente	ˌiŋkiˌetɐ̃ŋtemˈeɪŋtʃɪ	ˌiŋkiˌetɐ̃ŋtʃɪmˈeɪŋtʃɪ
inseguramente	ˌiŋseɡˌuɾɐmˈeɪŋtʃɪ	ˌiŋseɡuɾɐmˈeɪŋtʃɪ
insensatamente	ˌiŋseɪŋsˌatɐmˈeɪŋtʃɪ	ˌiŋseɪŋsatɐmˈeɪŋtʃɪ
insidiosamente	ˌiŋsidʒˌiozɐmˈeɪŋtʃɪ	ˌiŋsidʒˌiɔzɐmˈeɪŋtʃɪ
insipidamente	ˌiŋsipˌidɐmˈeɪŋtʃɪ	ˌiŋsipidɐmˈeɪŋtʃɪ
insistentemente	ˌiŋsistˌeɪŋtemˈeɪŋtʃɪ	ˌiŋsisteɪŋtʃɪmˈeɪŋtʃɪ
insolentemente	ˌiŋsolˌeɪŋtemˈeɪŋtʃɪ	ˌiŋsoleɪŋtʃɪmˈeɪŋtʃɪ
inspiradamente	ˌiŋspiɾˌadɐmˈeɪŋtʃɪ	ˌiŋspiɾadɐmˈeɪŋtʃɪ
instantemente	ˌiŋstɐ̃ŋtemˈeɪŋtʃɪ	ˌiŋstɐ̃ŋtʃɪmˈeɪŋtʃɪ
instintivamente	ˌiŋstʃiŋtʃˌivɐmˈeɪŋtʃɪ	ˌiŋstʃiŋtʃivɐmˈeɪŋtʃɪ
instrutivamente	ˌiŋstɾutʃˌivɐmˈeɪŋtʃɪ	ˌiŋstɾutʃivɐmˈeɪŋtʃɪ
insubordinadamente	ˌiŋsubˌoɾdʒinˌadɐmˈeɪŋtʃɪ	ˌiŋsubˌoɾdʒinadɐmˈeɪŋtʃɪ
insuficientemente	ˌiŋsufˌisiˌeɪŋtemˈeɪŋtʃɪ	ˌiŋsufˌisieɪŋtʃɪmˈeɪŋtʃɪ
insultantemente	ˌiŋsuwtˌɐ̃ŋtemˈeɪŋtʃɪ	ˌiŋsuwtɐ̃ŋtʃɪmˈeɪŋtʃɪ
insultuosamente	ˌiŋsuwtwˌozɐmˈeɪŋtʃɪ	ˌiŋsuwtwɔzɐmˈeɪŋtʃɪ
integramente	ˌiŋteɡɾɐmˈeɪŋtʃɪ	ˌiŋtɛɡɾɐmˈeɪŋtʃɪ
inteligentemente	ˌiŋtelˌiʒeɪŋtemˈeɪŋtʃɪ	ˌiŋtelˌiʒeɪŋtʃɪmˈeɪŋtʃɪ
intensivamente	ˌiŋteɪŋsˌivɐmˈeɪŋtʃɪ	ˌiŋteɪŋsivɐmˈeɪŋtʃɪ
interinamente	ˌiŋteɾˌinɐmˈeɪŋtʃɪ	ˌiŋteɾinɐmˈeɪŋtʃɪ
intermitentemente	ˌiŋteɾmˌiteɪŋtemˈeɪŋtʃɪ	ˌiŋteɾmˌiteɪŋtʃɪmˈeɪŋtʃɪ
internamente	ˌiŋteɾnɐmˈeɪŋtʃɪ	ˌiŋtɛɾnɐmˈeɪŋtʃɪ
intransigentemente	ˌiŋtɾɐ̃ŋzˌiʒeɪŋtemˈeɪŋtʃɪ	ˌiŋtɾɐ̃ŋzˌiʒeɪŋtʃɪmˈeɪŋtʃɪ
intrepidamente	ˌiŋtɾepˌidɐmˈeɪŋtʃɪ	ˌiŋtɾepidɐmˈeɪŋtʃɪ
intrinsecamente	ˌiŋtɾiŋsˌekɐmˈeɪŋtʃɪ	ˌiŋtɾiŋsɛkɐmˈeɪŋtʃɪ
intuitivamente	ˌiŋtuɪtʃˌivɐmˈeɪŋtʃɪ	ˌiŋtuɪtʃivɐmˈeɪŋtʃɪ
invejosamente	ˌiŋveʒˌozɐmˈeɪŋtʃɪ	ˌiŋveʒɔzɐmˈeɪŋtʃɪ
inversamente	ˌiŋveɾsɐmˈeɪŋtʃɪ	ˌiŋvɛɾsɐmˈeɪŋtʃɪ
invertidamente	ˌiŋveɾtʃˌidɐmˈeɪŋtʃɪ	ˌiŋveɾtʃidɐmˈeɪŋtʃɪ
involuntariamente	ˌiŋvolˌũŋtaɾˌiɐmˈeɪŋtʃɪ	ˌiŋvolˌũŋtaɾiɐmˈeɪŋtʃɪ
ironicamente	ˌiɾonˌikɐmˈeɪŋtʃɪ	ˌiɾonikɐmˈeɪŋtʃɪ
irrestritamente	ˌixestɾˌitɐmˈeɪŋtʃɪ	ˌixestɾitɐmˈeɪŋtʃɪ
irreverenciosamente	ˌixevˌeɾeɪŋsˌiozɐmˈeɪŋtʃɪ	ˌixevˌeɾeɪŋsˌiɔzɐmˈeɪŋtʃɪ
irreverentemente	ˌixevˌeɾeɪŋtemˈeɪŋtʃɪ	ˌixevˌeɾeɪŋtʃɪmˈeɪŋtʃɪ
irritantemente	ˌixitˌɐ̃ŋtemˈeɪŋtʃɪ	ˌixitɐ̃ŋtʃɪmˈeɪŋtʃɪ
isoladamente	ˌizolˌadɐmˈeɪŋtʃɪ	ˌizoladɐmˈeɪŋtʃɪ
jeitosamente	ʒˌeɪtozɐmˈeɪŋtʃɪ	ʒˌeɪtɔzɐmˈeɪŋtʃɪ
jocosamente	ʒˌokozɐmˈeɪŋtʃɪ	ʒˌokɔzɐmˈeɪŋtʃɪ
judiciosamente	ʒˌudʒisˌiozɐmˈeɪŋtʃɪ	ʒˌudʒisˌiɔzɐmˈeɪŋtʃɪ
juntamente	ʒˌũŋtɐmˈeɪŋtʃɪ	ʒũŋtɐmˈeɪŋtʃɪ
juramente	ʒˌuɾɐmˈeɪŋtʃɪ	ʒuɾɐmˈeɪŋtʃɪ
juridicamente	ʒˌuɾidʒˌikɐmˈeɪŋtʃɪ	ʒˌuɾidʒikɐmˈeɪŋtʃɪ
justamente	ʒˌustɐmˈeɪŋtʃɪ	ʒustɐmˈeɪŋtʃɪ
laboriosamente	lˌaboɾˌiozɐmˈeɪŋtʃɪ	lˌaboɾˌiɔzɐmˈeɪŋtʃɪ
laconicamente	lˌakonˌikɐmˈeɪŋtʃɪ	lˌakonikɐmˈeɪŋtʃɪ
lamentadamente	lˌɐmeɪŋtˌadɐmˈeɪŋtʃɪ	lˌɐmeɪŋtadɐmˈeɪŋtʃɪ
largamente	lˌaɾɡɐmˈeɪŋtʃɪ	laɾɡɐmˈeɪŋtʃɪ
lastimosamente	lˌastʃimˌozɐmˈeɪŋtʃɪ	lˌastʃimɔzɐmˈeɪŋtʃɪ
laudativamente	lˌaʊdatʃˌivɐmˈeɪŋtʃɪ	lˌaʊdatʃivɐmˈeɪŋtʃɪ
legitimamente	lˌeʒitʃˌimɐmˈeɪŋtʃɪ	lˌeʒitʃimɐmˈeɪŋtʃɪ
lentamente	lˌeɪŋtɐmˈeɪŋtʃɪ	leɪŋtɐmˈeɪŋtʃɪ
levemente	lˌevemˈeɪŋtʃɪ	lɛvɪmˈeɪŋtʃɪ
levianamente	lˌeviˌɐnɐmˈeɪŋtʃɪ	lˌeviɐ̃nɐmˈeɪŋtʃɪ
libertinamente	lˌibeɾtʃˌinɐmˈeɪŋtʃɪ	lˌibeɾtʃinɐmˈeɪŋtʃɪ
libidinosamente	lˌibidʒˌinozɐmˈeɪŋtʃɪ	lˌibidʒˌinɔzɐmˈeɪŋtʃɪ
licenciosamente	lˌiseɪŋsˌiozɐmˈeɪŋtʃɪ	lˌiseɪŋsˌiɔzɐmˈeɪŋtʃɪ
limitadamente	lˌimitˌadɐmˈeɪŋtʃɪ	lˌimitadɐmˈeɪŋtʃɪ
lindamente	lˌiŋdɐmˈeɪŋtʃɪ	liŋdɐmˈeɪŋtʃɪ
livremente	lˌivɾemˈeɪŋtʃɪ	livɾɪmˈeɪŋtʃɪ
logisticamente	lˌoʒistʃˌikɐmˈeɪŋtʃɪ	lˌoʒistʃikɐmˈeɪŋtʃɪ
longamente	lˌoŋɡɐmˈeɪŋtʃɪ	loŋɡɐmˈeɪŋtʃɪ
loucamente	lˌoʊkɐmˈeɪŋtʃɪ	loʊkɐmˈeɪŋtʃɪ
louramente	lˌoʊɾɐmˈeɪŋtʃɪ	loʊɾɐmˈeɪŋtʃɪ
lucrativamente	lˌukɾatʃˌivɐmˈeɪŋtʃɪ	lˌukɾatʃivɐmˈeɪŋtʃɪ
lunaticamente	lˌunatʃˌikɐmˈeɪŋtʃɪ	lˌunatʃikɐmˈeɪŋtʃɪ
luxuosamente	lˌuʃwozɐmˈeɪŋtʃɪ	lˌuʃwɔzɐmˈeɪŋtʃɪ
magnanimamente	mˌaɡnɐnˌimɐmˈeɪŋtʃɪ	mˌaɡnɐnimɐmˈeɪŋtʃɪ
magneticamente	mˌaɡnetʃˌikɐmˈeɪŋtʃɪ	mˌaɡnetʃikɐmˈeɪŋtʃɪ
magnificamente	mˌaɡnifˌikɐmˈeɪŋtʃɪ	mˌaɡnifikɐmˈeɪŋtʃɪ
maioritariamente	mˌaɪoɾˌitaɾˌiɐmˈeɪŋtʃɪ	mˌaɪoɾˌitaɾiɐmˈeɪŋtʃɪ
majestosamente	mˌaʒestˌozɐmˈeɪŋtʃɪ	mˌaʒestɔzɐmˈeɪŋtʃɪ
maldosamente	mˌaʊdozɐmˈeɪŋtʃɪ	mˌaʊdɔzɐmˈeɪŋtʃɪ
malevolamente	mˌalevˌolɐmˈeɪŋtʃɪ	mˌalevɔlɐmˈeɪŋtʃɪ
maliciosamente	mˌalisˌiozɐmˈeɪŋtʃɪ	mˌalisˌiɔzɐmˈeɪŋtʃɪ
malissimamente	mˌalisˌimɐmˈeɪŋtʃɪ	mˌalisimɐmˈeɪŋtʃɪ
manhosamente	mˌɐ̃ɲozɐmˈeɪŋtʃɪ	mˌɐ̃ɲɔzɐmˈeɪŋtʃɪ
manifestamente	mˌɐnifˌestɐmˈeɪŋtʃɪ	mˌɐnifɛstɐmˈeɪŋtʃɪ
mansamente	mˌɐ̃ŋsɐmˈeɪŋtʃɪ	mɐ̃ŋsɐmˈeɪŋtʃɪ
maravilhosamente	mˌaɾavˌiʎozɐmˈeɪŋtʃɪ	mˌaɾavˌiʎɔzɐmˈeɪŋtʃɪ
mecanicamente	mˌekɐnˌikɐmˈeɪŋtʃɪ	mˌekɐnikɐmˈeɪŋtʃɪ
medianamente	mˌedʒiˌɐnɐmˈeɪŋtʃɪ	mˌedʒiɐ̃nɐmˈeɪŋtʃɪ
mediatamente	mˌedʒiˌatɐmˈeɪŋtʃɪ	mˌedʒiatɐmˈeɪŋtʃɪ
mediocremente	mˌedʒiˌokɾemˈeɪŋtʃɪ	mˌedʒiokɾɪmˈeɪŋtʃɪ
meditadamente	mˌedʒitˌadɐmˈeɪŋtʃɪ	mˌedʒitadɐmˈeɪŋtʃɪ
medrosamente	mˌedɾozɐmˈeɪŋtʃɪ	mˌedɾɔzɐmˈeɪŋtʃɪ
melodramaticamente	mˌelodɾˌɐmatʃˌikɐmˈeɪŋtʃɪ	mˌelodɾˌɐmatʃikɐmˈeɪŋtʃɪ
meramente	mˌeɾɐmˈeɪŋtʃɪ	mɛɾɐmˈeɪŋtʃɪ
merecidamente	mˌeɾesˌidɐmˈeɪŋtʃɪ	mˌeɾesidɐmˈeɪŋtʃɪ
mesmamente	mˌezmɐmˈeɪŋtʃɪ	mezmɐmˈeɪŋtʃɪ
mesuradamente	mˌezuɾˌadɐmˈeɪŋtʃɪ	mˌezuɾadɐmˈeɪŋtʃɪ
meticulosamente	mˌetʃikˌulozɐmˈeɪŋtʃɪ	mˌetʃikˌulɔzɐmˈeɪŋtʃɪ
metodicamente	mˌetodʒˌikɐmˈeɪŋtʃɪ	mˌetodʒikɐmˈeɪŋtʃɪ
metodologicamente	mˌetodˌoloʒˌikɐmˈeɪŋtʃɪ	mˌetodˌoloʒikɐmˈeɪŋtʃɪ
milagrosamente	mˌilaɡɾˌozɐmˈeɪŋtʃɪ	mˌilaɡɾɔzɐmˈeɪŋtʃɪ
militantemente	mˌilitˌɐ̃ŋtemˈeɪŋtʃɪ	mˌilitɐ̃ŋtʃɪmˈeɪŋtʃɪ
mineralogicamente	mˌineɾˌaloʒˌikɐmˈeɪŋtʃɪ	mˌineɾˌaloʒikɐmˈeɪŋtʃɪ
minuciosamente	mˌinusˌiozɐmˈeɪŋtʃɪ	mˌinusˌiɔzɐmˈeɪŋtʃɪ
minusculamente	mˌinuskˌulɐmˈeɪŋtʃɪ	mˌinuskulɐmˈeɪŋtʃɪ
miraculosamente	mˌiɾakˌulozɐmˈeɪŋtʃɪ	mˌiɾakˌulɔzɐmˈeɪŋtʃɪ
miseramente	mˌizeɾɐmˈeɪŋtʃɪ	mˌizɛɾɐmˈeɪŋtʃɪ
misericordiosamente	mˌizeɾˌikoɾdʒˌiozɐmˈeɪŋtʃɪ	mˌizeɾˌikoɾdʒˌiɔzɐmˈeɪŋtʃɪ
misteriosamente	mˌisteɾˌiozɐmˈeɪŋtʃɪ	mˌisteɾˌiɔzɐmˈeɪŋtʃɪ
miudamente	mjˌudɐmˈeɪŋtʃɪ	mjudɐmˈeɪŋtʃɪ
moderadamente	mˌodeɾˌadɐmˈeɪŋtʃɪ	mˌodeɾadɐmˈeɪŋtʃɪ
modernamente	mˌodeɾnɐmˈeɪŋtʃɪ	mˌodɛɾnɐmˈeɪŋtʃɪ
modestamente	mˌodestɐmˈeɪŋtʃɪ	mˌodɛstɐmˈeɪŋtʃɪ
moduladamente	mˌodulˌadɐmˈeɪŋtʃɪ	mˌoduladɐmˈeɪŋtʃɪ
monocromaticamente	mˌonokɾˌomatʃˌikɐmˈeɪŋtʃɪ	mˌonokɾˌomatʃikɐmˈeɪŋtʃɪ
monotonamente	mˌonotˌonɐmˈeɪŋtʃɪ	mˌonotonɐmˈeɪŋtʃɪ
morosamente	mˌoɾozɐmˈeɪŋtʃɪ	mˌoɾɔzɐmˈeɪŋtʃɪ
mudamente	mˌudɐmˈeɪŋtʃɪ	mudɐmˈeɪŋtʃɪ
nebulosamente	nˌebulˌozɐmˈeɪŋtʃɪ	nˌebulɔzɐmˈeɪŋtʃɪ
negativamente	nˌeɡatʃˌivɐmˈeɪŋtʃɪ	nˌeɡatʃivɐmˈeɪŋtʃɪ
negligentemente	nˌeɡliʒˌeɪŋtemˈeɪŋtʃɪ	nˌeɡliʒeɪŋtʃɪmˈeɪŋtʃɪ
nervosamente	nˌeɾvozɐmˈeɪŋtʃɪ	nˌeɾvɔzɐmˈeɪŋtʃɪ
nobremente	nˌobɾemˈeɪŋtʃɪ	nɔbɾɪmˈeɪŋtʃɪ
nomeadamente	nˌomeˌadɐmˈeɪŋtʃɪ	nˌomeadɐmˈeɪŋtʃɪ
notoriamente	nˌotoɾˌiɐmˈeɪŋtʃɪ	nˌotoɾiɐmˈeɪŋtʃɪ
novamente	nˌovɐmˈeɪŋtʃɪ	nɔvɐmˈeɪŋtʃɪ
nuamente	nˌuɐmˈeɪŋtʃɪ	nuɐmˈeɪŋtʃɪ
nulamente	nˌulɐmˈeɪŋtʃɪ	nulɐmˈeɪŋtʃɪ
numericamente	nˌumeɾˌikɐmˈeɪŋtʃɪ	nˌumeɾikɐmˈeɪŋtʃɪ
obcecadamente	ˌobsekˌadɐmˈeɪŋtʃɪ	ˌobsekadɐmˈeɪŋtʃɪ
obedientemente	ˌobedʒˌieɪŋtemˈeɪŋtʃɪ	ˌobedʒˌieɪŋtʃɪmˈeɪŋtʃɪ
objetivamente	ˌobʒetʃˌivɐmˈeɪŋtʃɪ	ˌobʒetʃivɐmˈeɪŋtʃɪ
obrigatoriamente	ˌobɾiɡˌatoɾˌiɐmˈeɪŋtʃɪ	ˌobɾiɡˌatoɾiɐmˈeɪŋtʃɪ
obsequiosamente	ˌobsekˌiozɐmˈeɪŋtʃɪ	ˌobsekˌiɔzɐmˈeɪŋtʃɪ
obsessivamente	ˌobsesˌivɐmˈeɪŋtʃɪ	ˌobsesivɐmˈeɪŋtʃɪ
obstinadamente	ˌobstʃinˌadɐmˈeɪŋtʃɪ	ˌobstʃinadɐmˈeɪŋtʃɪ
odiosamente	ˌodʒiˌozɐmˈeɪŋtʃɪ	ˌodʒiɔzɐmˈeɪŋtʃɪ
ofensivamente	ˌofeɪŋsˌivɐmˈeɪŋtʃɪ	ˌofeɪŋsivɐmˈeɪŋtʃɪ
oficiosamente	ˌofisˌiozɐmˈeɪŋtʃɪ	ˌofisˌiɔzɐmˈeɪŋtʃɪ
oportunamente	ˌopoɾtˌunɐmˈeɪŋtʃɪ	ˌopoɾtunɐmˈeɪŋtʃɪ
orçamente	ˌoɾsɐmˈeɪŋtʃɪ	ɔɾsɐmˈeɪŋtʃɪ
ordenadamente	ˌoɾdenˌadɐmˈeɪŋtʃɪ	ˌoɾdenadɐmˈeɪŋtʃɪ
organicamente	ˌoɾɡɐnˌikɐmˈeɪŋtʃɪ	ˌoɾɡɐnikɐmˈeɪŋtʃɪ
orgânicamente	ˌoɾɡˈɐ̃nikˌɐmeɪŋtʃɪ	ˌoɾɡˈɐ̃nikɐmˈeɪŋtʃɪ
orgulhosamente	ˌoɾɡuʎˌozɐmˈeɪŋtʃɪ	ˌoɾɡuʎɔzɐmˈeɪŋtʃɪ
originariamente	ˌoɾiʒˌinaɾˌiɐmˈeɪŋtʃɪ	ˌoɾiʒˌinaɾiɐmˈeɪŋtʃɪ
ornamente	ˌoɾnɐmˈeɪŋtʃɪ	ɔɾnɐmˈeɪŋtʃɪ
ortodoxamente	ˌoɾtodˌoksɐmˈeɪŋtʃɪ	ˌoɾtodɔksɐmˈeɪŋtʃɪ
ostensivamente	ˌosteɪŋsˌivɐmˈeɪŋtʃɪ	ˌosteɪŋsivɐmˈeɪŋtʃɪ
ostentosamente	ˌosteɪŋtˌozɐmˈeɪŋtʃɪ	ˌosteɪŋtɔzɐmˈeɪŋtʃɪ
pachorrentamente	pˌaʃoxˌeɪŋtɐmˈeɪŋtʃɪ	pˌaʃoxeɪŋtɐmˈeɪŋtʃɪ
pacientemente	pˌasiˌeɪŋtemˈeɪŋtʃɪ	pˌasieɪŋtʃɪmˈeɪŋtʃɪ
pacificamente	pˌasifˌikɐmˈeɪŋtʃɪ	pˌasifikɐmˈeɪŋtʃɪ
paradigmaticamente	pˌaɾadʒˌiɡmatʃˌikɐmˈeɪŋtʃɪ	pˌaɾadʒˌiɡmatʃikɐmˈeɪŋtʃɪ
paralelamente	pˌaɾalˌelɐmˈeɪŋtʃɪ	pˌaɾalɛlɐmˈeɪŋtʃɪ
paramente	pˌaɾɐmˈeɪŋtʃɪ	paɾɐmˈeɪŋtʃɪ
parasitariamente	pˌaɾazˌitaɾˌiɐmˈeɪŋtʃɪ	pˌaɾazˌitaɾiɐmˈeɪŋtʃɪ
parcamente	pˌaɾkɐmˈeɪŋtʃɪ	paɾkɐmˈeɪŋtʃɪ
parceladamente	pˌaɾselˌadɐmˈeɪŋtʃɪ	pˌaɾseladɐmˈeɪŋtʃɪ
parcimoniosamente	pˌaɾsimˌoniˌozɐmˈeɪŋtʃɪ	pˌaɾsimˌoniɔzɐmˈeɪŋtʃɪ
parvamente	pˌaɾvɐmˈeɪŋtʃɪ	paɾvɐmˈeɪŋtʃɪ
passageiramente	pˌasaʒˌeɪɾɐmˈeɪŋtʃɪ	pˌasaʒeɪɾɐmˈeɪŋtʃɪ
pateticamente	pˌatetʃˌikɐmˈeɪŋtʃɪ	pˌatetʃikɐmˈeɪŋtʃɪ
paulatinamente	pˌaʊlatʃˌinɐmˈeɪŋtʃɪ	pˌaʊlatʃinɐmˈeɪŋtʃɪ
pecaminosamente	pˌekɐmˌinozɐmˈeɪŋtʃɪ	pˌekɐmˌinɔzɐmˈeɪŋtʃɪ
pecuniariamente	pˌekunˌiaɾˌiɐmˈeɪŋtʃɪ	pˌekunˌiaɾiɐmˈeɪŋtʃɪ
pendentemente	pˌeɪŋdeɪŋtemˈeɪŋtʃɪ	pˌeɪŋdeɪŋtʃɪmˈeɪŋtʃɪ
penetrantemente	pˌenetɾˌɐ̃ŋtemˈeɪŋtʃɪ	pˌenetɾɐ̃ŋtʃɪmˈeɪŋtʃɪ
penitentemente	pˌenitˌeɪŋtemˈeɪŋtʃɪ	pˌeniteɪŋtʃɪmˈeɪŋtʃɪ
penosamente	pˌenozɐmˈeɪŋtʃɪ	pˌenɔzɐmˈeɪŋtʃɪ
pensativamente	pˌeɪŋsatʃˌivɐmˈeɪŋtʃɪ	pˌeɪŋsatʃivɐmˈeɪŋtʃɪ
peregrinamente	pˌeɾeɡɾˌinɐmˈeɪŋtʃɪ	pˌeɾeɡɾinɐmˈeɪŋtʃɪ
perenemente	pˌeɾenemˈeɪŋtʃɪ	pˌeɾenɪmˈeɪŋtʃɪ
perigosamente	pˌeɾiɡˌozɐmˈeɪŋtʃɪ	pˌeɾiɡɔzɐmˈeɪŋtʃɪ
permanentemente	pˌeɾmɐnˌeɪŋtemˈeɪŋtʃɪ	pˌeɾmɐneɪŋtʃɪmˈeɪŋtʃɪ
perniciosamente	pˌeɾnisˌiozɐmˈeɪŋtʃɪ	pˌeɾnisˌiɔzɐmˈeɪŋtʃɪ
perpetuamente	pˌeɾpetˌuɐmˈeɪŋtʃɪ	pˌeɾpetuɐmˈeɪŋtʃɪ
perseverantemente	pˌeɾsevˌeɾɐ̃ŋtemˈeɪŋtʃɪ	pˌeɾsevˌeɾɐ̃ŋtʃɪmˈeɪŋtʃɪ
persistentemente	pˌeɾsistˌeɪŋtemˈeɪŋtʃɪ	pˌeɾsisteɪŋtʃɪmˈeɪŋtʃɪ
